iter	Passed	Remaining
0	1	1989
1	5	2508
2	8	2929
3	11	2971
4	15	3022
5	18	3002
6	21	2989
7	24	3002
8	27	3031
9	30	3040
10	34	3100
11	37	3083
12	40	3080
13	43	3077
14	46	3084
15	50	3117
16	53	3116
17	57	3119
18	60	3109
19	63	3106
20	66	3109
21	70	3122
22	73	3137
23	77	3132
24	80	3132
25	84	3147
26	87	3143
27	90	3145
28	94	3147
29	97	3140
30	100	3145
31	103	3133
32	106	3135
33	110	3125
34	113	3119
35	116	3109
36	119	3101
37	122	3094
38	125	3090
39	128	3076
40	131	3076
41	134	3061
42	137	3050
43	140	3048
44	143	3044
45	146	3035
46	149	3037
47	152	3027
48	155	3020
49	158	3010
50	161	3009
51	164	3002
52	167	2995
53	170	2990
54	173	2988
55	176	2979
56	179	2973
57	182	2962
58	185	2956
59	188	2948
60	191	2943
61	194	2937
62	197	2933
63	200	2929
64	203	2926
65	206	2923
66	209	2923
67	213	2921
68	216	2922
69	219	2921
70	223	2923
71	226	2925
72	230	2922
73	233	2923
74	236	2918
75	239	2910
76	242	2907
77	245	2904
78	248	2899
79	251	2895
80	254	2888
81	257	2881
82	260	2878
83	263	2870
84	266	2865
85	269	2859
86	271	2854
87	274	2847
88	277	2839
89	280	2833
90	286	2861
91	289	2852
92	291	2842
93	294	2835
94	296	2827
95	299	2818
96	301	2810
97	304	2805
98	307	2795
99	309	2787
100	312	2777
101	314	2768
102	316	2758
103	318	2747
104	321	2736
105	323	2727
106	325	2718
107	327	2708
108	330	2698
109	332	2689
110	334	2681
111	337	2673
112	339	2668
113	342	2662
114	344	2652
115	347	2644
116	349	2635
117	351	2628
118	353	2618
119	355	2610
120	358	2603
121	360	2595
122	362	2587
123	365	2580
124	367	2572
125	370	2566
126	372	2560
127	374	2553
128	377	2547
129	379	2540
130	382	2534
131	384	2527
132	386	2521
133	389	2514
134	391	2509
135	394	2506
136	397	2502
137	399	2498
138	402	2493
139	406	2494
140	409	2492
141	411	2486
142	414	2483
143	417	2480
144	420	2477
145	422	2473
146	426	2472
147	429	2471
148	431	2466
149	434	2463
150	437	2458
151	439	2451
152	441	2444
153	444	2439
154	446	2434
155	449	2429
156	451	2424
157	454	2421
158	456	2416
159	459	2411
160	462	2407
161	464	2403
162	467	2398
163	469	2394
164	472	2389
165	474	2383
166	476	2377
167	479	2372
168	481	2367
169	483	2362
170	486	2357
171	488	2351
172	491	2347
173	493	2342
174	495	2337
175	498	2333
176	500	2328
177	503	2323
178	505	2319
179	508	2315
180	510	2311
181	512	2305
182	515	2301
183	517	2296
184	520	2292
185	522	2288
186	525	2282
187	527	2277
188	529	2272
189	531	2267
190	534	2263
191	536	2259
192	539	2255
193	541	2250
194	543	2245
195	546	2240
196	548	2236
197	551	2233
198	553	2229
199	556	2224
200	558	2221
201	561	2216
202	563	2213
203	566	2208
204	568	2204
205	571	2202
206	573	2198
207	576	2194
208	578	2189
209	581	2186
210	583	2182
211	586	2178
212	588	2174
213	591	2170
214	593	2167
215	596	2165
216	599	2162
217	602	2160
218	605	2159
219	608	2155
220	611	2155
221	614	2151
222	616	2148
223	619	2145
224	621	2141
225	624	2137
226	627	2135
227	630	2134
228	634	2135
229	637	2135
230	641	2136
231	645	2135
232	648	2135
233	652	2135
234	655	2135
235	660	2139
236	663	2137
237	666	2134
238	669	2132
239	672	2129
240	676	2129
241	679	2127
242	681	2124
243	684	2121
244	688	2120
245	691	2119
246	694	2116
247	697	2113
248	699	2109
249	701	2105
250	704	2101
251	706	2097
252	709	2093
253	711	2089
254	713	2085
255	716	2081
256	718	2077
257	720	2073
258	722	2068
259	725	2064
260	727	2059
261	730	2056
262	732	2052
263	734	2047
264	737	2044
265	739	2040
266	741	2036
267	744	2032
268	746	2028
269	748	2024
270	751	2020
271	753	2017
272	755	2012
273	757	2008
274	760	2003
275	762	2000
276	764	1996
277	767	1992
278	769	1988
279	771	1984
280	774	1981
281	776	1977
282	778	1973
283	780	1968
284	782	1964
285	785	1960
286	787	1956
287	789	1952
288	792	1948
289	794	1944
290	796	1940
291	798	1936
292	800	1932
293	803	1928
294	805	1924
295	807	1920
296	809	1916
297	811	1912
298	813	1908
299	816	1905
300	819	1902
301	821	1899
302	823	1895
303	825	1890
304	827	1886
305	829	1882
306	832	1879
307	834	1875
308	837	1873
309	840	1871
310	843	1869
311	846	1866
312	848	1862
313	851	1859
314	853	1855
315	855	1851
316	857	1848
317	859	1843
318	862	1840
319	864	1836
320	866	1832
321	868	1829
322	870	1825
323	872	1821
324	875	1817
325	877	1814
326	879	1810
327	881	1806
328	883	1802
329	885	1798
330	888	1794
331	890	1791
332	892	1788
333	895	1784
334	897	1781
335	899	1778
336	901	1774
337	903	1770
338	906	1767
339	909	1764
340	912	1762
341	914	1759
342	917	1756
343	919	1753
344	922	1750
345	924	1747
346	926	1743
347	928	1740
348	931	1737
349	933	1733
350	935	1730
351	937	1726
352	939	1722
353	942	1719
354	944	1715
355	946	1711
356	948	1707
357	950	1704
358	952	1700
359	954	1696
360	956	1693
361	958	1689
362	960	1686
363	962	1682
364	964	1678
365	967	1675
366	969	1671
367	971	1667
368	973	1664
369	975	1660
370	977	1657
371	979	1653
372	981	1649
373	983	1646
374	985	1642
375	987	1638
376	989	1635
377	991	1631
378	993	1628
379	995	1624
380	997	1621
381	999	1617
382	1002	1614
383	1004	1610
384	1006	1607
385	1008	1603
386	1010	1600
387	1012	1597
388	1014	1593
389	1016	1590
390	1018	1587
391	1021	1583
392	1023	1580
393	1025	1576
394	1027	1573
395	1029	1570
396	1032	1567
397	1034	1564
398	1036	1561
399	1038	1558
400	1040	1554
401	1043	1551
402	1045	1548
403	1047	1544
404	1049	1541
405	1051	1538
406	1053	1534
407	1055	1531
408	1057	1528
409	1059	1524
410	1061	1521
411	1063	1517
412	1065	1514
413	1067	1510
414	1069	1507
415	1071	1503
416	1073	1500
417	1075	1497
418	1077	1494
419	1079	1490
420	1081	1487
421	1083	1484
422	1085	1481
423	1087	1477
424	1089	1474
425	1091	1471
426	1093	1467
427	1095	1464
428	1097	1461
429	1099	1458
430	1101	1454
431	1104	1451
432	1106	1448
433	1108	1445
434	1110	1442
435	1112	1439
436	1114	1435
437	1116	1432
438	1118	1429
439	1121	1426
440	1123	1423
441	1125	1420
442	1127	1417
443	1129	1414
444	1131	1411
445	1133	1408
446	1135	1405
447	1137	1401
448	1139	1398
449	1141	1395
